#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CTLA4	IL21R	9606.ENSP00000497102	9606.ENSP00000338010	0	0	0	0	0.238	0	0	0.618	0.697
CTLA4	STAT4	9606.ENSP00000497102	9606.ENSP00000351255	0	0	0	0	0.158	0	0	0.581	0.632
CTLA4	STAT1	9606.ENSP00000497102	9606.ENSP00000354394	0	0	0	0	0.079	0	0	0.732	0.742
CTLA4	IFNGR1	9606.ENSP00000497102	9606.ENSP00000356713	0	0	0	0	0	0	0	0.586	0.586
CTLA4	IL6R	9606.ENSP00000497102	9606.ENSP00000357470	0	0	0	0	0.059	0	0	0.475	0.484
CTLA4	IL13RA2	9606.ENSP00000497102	9606.ENSP00000361004	0	0	0	0	0	0	0	0.418	0.418
CTLA4	IL2RA	9606.ENSP00000497102	9606.ENSP00000369293	0	0	0	0	0.366	0	0	0.805	0.871
CTLA4	IFNA2	9606.ENSP00000497102	9606.ENSP00000369554	0	0	0	0	0.044	0	0	0.547	0.548
CTLA4	IFNB1	9606.ENSP00000497102	9606.ENSP00000369581	0	0	0	0	0.085	0	0	0.541	0.562
CTLA4	IL4R	9606.ENSP00000497102	9606.ENSP00000379111	0	0	0	0	0.047	0	0	0.446	0.449
CTLA4	RELA	9606.ENSP00000497102	9606.ENSP00000384273	0	0	0	0	0.055	0	0	0.465	0.472
CTLA4	IL6	9606.ENSP00000497102	9606.ENSP00000385675	0	0	0	0	0.084	0	0	0.806	0.815
CTLA4	IL10	9606.ENSP00000497102	9606.ENSP00000412237	0	0	0	0	0.119	0	0	0.915	0.922
CTLA4	IRF5	9606.ENSP00000497102	9606.ENSP00000418037	0	0	0	0	0.071	0	0	0.446	0.463
CTLA4	IL22	9606.ENSP00000497102	9606.ENSP00000442424	0	0	0	0	0.137	0	0	0.543	0.588
CTLA4	IL12RB1	9606.ENSP00000497102	9606.ENSP00000470788	0	0	0	0	0.149	0.091	0	0.401	0.496
CTLA4	IFNA13	9606.ENSP00000497102	9606.ENSP00000480467	0	0	0	0	0	0	0	0.480	0.480
CTLA4	JAK1	9606.ENSP00000497102	9606.ENSP00000499900	0	0	0	0	0.056	0	0	0.541	0.548
CTLA4	IL17A	9606.ENSP00000497102	9606.ENSP00000497968	0	0	0	0	0.079	0	0	0.875	0.880
CYTH1	CYTH3	9606.ENSP00000389095	9606.ENSP00000297044	0	0	0.050	0.981	0.049	0.606	0.500	0.058	0.801
CYTH1	INAVA	9606.ENSP00000389095	9606.ENSP00000392105	0	0	0	0	0	0.726	0	0.395	0.827
CYTH1	CYTH2	9606.ENSP00000389095	9606.ENSP00000493357	0	0	0.049	0.982	0.049	0.607	0.500	0.505	0.896
CYTH2	CYTH3	9606.ENSP00000493357	9606.ENSP00000297044	0	0	0.050	0.980	0	0	0.500	0.059	0.514
CYTH2	INAVA	9606.ENSP00000493357	9606.ENSP00000392105	0	0	0	0	0	0.776	0	0.347	0.847
CYTH3	INAVA	9606.ENSP00000297044	9606.ENSP00000392105	0	0	0	0	0	0.644	0	0.318	0.747
E2F6	STAT1	9606.ENSP00000370936	9606.ENSP00000354394	0	0	0	0	0	0	0	0.402	0.402
E2F6	RNF2	9606.ENSP00000370936	9606.ENSP00000356480	0	0	0	0	0.055	0.836	0.900	0.746	0.995
ERBIN	STAT3	9606.ENSP00000426632	9606.ENSP00000264657	0	0	0	0	0.059	0.158	0	0.504	0.573
ERBIN	NOD2	9606.ENSP00000426632	9606.ENSP00000300589	0	0	0	0	0	0.404	0.900	0.892	0.993
ERBIN	TYK2	9606.ENSP00000426632	9606.ENSP00000431885	0	0	0	0	0.067	0.100	0	0.425	0.475
FAM167A	STAT4	9606.ENSP00000284486	9606.ENSP00000351255	0	0	0	0	0	0	0	0.571	0.571
FAM167A	IRF5	9606.ENSP00000284486	9606.ENSP00000418037	0	0	0	0	0	0	0	0.583	0.583
FGFR3	STAT3	9606.ENSP00000339824	9606.ENSP00000264657	0	0	0	0	0	0.328	0	0.449	0.614
FGFR3	STAT1	9606.ENSP00000339824	9606.ENSP00000354394	0	0	0	0	0	0.090	0	0.515	0.539
FGFR3	JAK1	9606.ENSP00000339824	9606.ENSP00000499900	0	0	0	0.604	0	0.074	0.900	0.162	0.915
GFOD1	RALGAPB	9606.ENSP00000368589	9606.ENSP00000262879	0	0	0	0	0	0.581	0	0	0.581
GSN	TYK2	9606.ENSP00000362924	9606.ENSP00000431885	0	0	0	0	0	0	0	0.427	0.427
GSN	JAK1	9606.ENSP00000362924	9606.ENSP00000499900	0	0	0	0	0.060	0	0	0.429	0.440
GSN	VIM	9606.ENSP00000362924	9606.ENSP00000446007	0	0	0	0	0.107	0	0	0.485	0.520
IFNA1	IL2RB	9606.ENSP00000276927	9606.ENSP00000216223	0	0	0	0	0	0	0.650	0.322	0.752
IFNA1	IL10RA	9606.ENSP00000276927	9606.ENSP00000227752	0	0	0	0	0	0	0.650	0.419	0.787
IFNA1	IL26	9606.ENSP00000276927	9606.ENSP00000229134	0	0	0	0	0.058	0	0	0.397	0.407
IFNA1	IFNG	9606.ENSP00000276927	9606.ENSP00000229135	0	0	0	0	0.115	0	0	0.950	0.954
IFNA1	IL4	9606.ENSP00000276927	9606.ENSP00000231449	0	0	0	0	0.058	0	0	0.791	0.794
IFNA1	IL9R	9606.ENSP00000276927	9606.ENSP00000244174	0	0	0	0	0.044	0	0.650	0.125	0.681
IFNA1	IL12RB2	9606.ENSP00000276927	9606.ENSP00000262345	0	0	0	0	0.042	0	0.650	0.400	0.781
IFNA1	IL27RA	9606.ENSP00000276927	9606.ENSP00000263379	0	0	0	0	0	0	0.650	0.305	0.746
IFNA1	STAT3	9606.ENSP00000276927	9606.ENSP00000264657	0	0	0	0	0	0	0	0.696	0.696
IFNA1	IFNAR1	9606.ENSP00000276927	9606.ENSP00000270139	0	0	0	0	0.058	0.091	0.900	0.999	0.999
IFNA1	IL22RA1	9606.ENSP00000276927	9606.ENSP00000270800	0	0	0	0	0	0	0.650	0.424	0.789
IFNA1	IL9	9606.ENSP00000276927	9606.ENSP00000274520	0	0	0	0	0.104	0	0	0.729	0.747
IFNA1	IL24	9606.ENSP00000276927	9606.ENSP00000375795	0	0	0	0	0.107	0	0	0.388	0.430
IFNA1	NOD2	9606.ENSP00000276927	9606.ENSP00000300589	0	0	0	0	0.047	0	0	0.506	0.509
IFNA1	NLRP3	9606.ENSP00000276927	9606.ENSP00000337383	0	0	0	0	0.051	0	0	0.546	0.552
IFNA1	IL19	9606.ENSP00000276927	9606.ENSP00000499459	0	0	0	0	0.044	0	0	0.588	0.589
IFNA1	IFNA2	9606.ENSP00000276927	9606.ENSP00000369554	0	0	0.052	0.977	0.444	0	0.400	0.062	0.663
IFNA1	IRF5	9606.ENSP00000276927	9606.ENSP00000418037	0	0	0	0	0.042	0	0	0.670	0.670
IFNA1	PRLR	9606.ENSP00000276927	9606.ENSP00000482954	0	0	0	0	0	0	0.650	0.108	0.674
IFNA1	IL11RA	9606.ENSP00000276927	9606.ENSP00000450565	0	0	0	0	0	0	0.650	0.108	0.674
IFNA1	IL20RB	9606.ENSP00000276927	9606.ENSP00000328133	0	0	0	0	0	0	0.650	0.160	0.693
IFNA1	IL20RA	9606.ENSP00000276927	9606.ENSP00000314976	0	0	0	0	0	0	0.650	0.174	0.698
IFNA1	IL22RA2	9606.ENSP00000276927	9606.ENSP00000296980	0	0	0	0	0	0	0.650	0.180	0.700
IFNA1	IL13	9606.ENSP00000276927	9606.ENSP00000304915	0	0	0	0	0	0	0	0.713	0.713
IFNA1	IL13RA2	9606.ENSP00000276927	9606.ENSP00000361004	0	0	0	0	0	0	0.650	0.222	0.716
IFNA1	IL13RA1	9606.ENSP00000276927	9606.ENSP00000360730	0	0	0	0	0.074	0	0.650	0.201	0.718
IFNA1	IL6ST	9606.ENSP00000276927	9606.ENSP00000370698	0	0	0	0	0	0	0.650	0.270	0.733
IFNA1	IL21R	9606.ENSP00000276927	9606.ENSP00000338010	0	0	0	0	0	0	0.650	0.337	0.758
IFNA1	IL22	9606.ENSP00000276927	9606.ENSP00000442424	0	0	0	0	0.123	0	0	0.742	0.764
IFNA1	STAT4	9606.ENSP00000276927	9606.ENSP00000351255	0	0	0	0	0	0	0	0.776	0.776
IFNA1	IL4R	9606.ENSP00000276927	9606.ENSP00000379111	0	0	0	0	0.059	0	0.650	0.385	0.779
IFNA1	IL5RA	9606.ENSP00000276927	9606.ENSP00000412209	0	0	0	0	0.089	0	0.650	0.368	0.781
IFNA1	IFNL2	9606.ENSP00000276927	9606.ENSP00000333639	0	0	0	0	0.110	0	0	0.765	0.781
IFNA1	RELA	9606.ENSP00000276927	9606.ENSP00000384273	0	0	0	0	0	0	0.650	0.419	0.787
IFNA1	IL17A	9606.ENSP00000276927	9606.ENSP00000497968	0	0	0	0	0.135	0	0	0.768	0.790
IFNA1	IL6R	9606.ENSP00000276927	9606.ENSP00000357470	0	0	0	0	0.065	0	0.650	0.448	0.803
IFNA1	IL23R	9606.ENSP00000276927	9606.ENSP00000321345	0	0	0	0	0.056	0	0.650	0.547	0.837
IFNA1	IL2RA	9606.ENSP00000276927	9606.ENSP00000369293	0	0	0	0	0.044	0	0.650	0.571	0.843
IFNA1	IL18	9606.ENSP00000276927	9606.ENSP00000280357	0	0	0	0	0	0	0	0.849	0.849
IFNA1	IL10	9606.ENSP00000276927	9606.ENSP00000412237	0	0	0	0	0.101	0	0	0.843	0.852
IFNA1	IL12RB1	9606.ENSP00000276927	9606.ENSP00000470788	0	0	0	0	0	0	0.650	0.622	0.862
IFNA1	IFNK	9606.ENSP00000276927	9606.ENSP00000276943	0	0	0.133	0.725	0.054	0	0	0.851	0.867
IFNA1	IFNL1	9606.ENSP00000276927	9606.ENSP00000329991	0	0	0	0	0.188	0	0	0.851	0.873
IFNA1	IFNL3	9606.ENSP00000276927	9606.ENSP00000481633	0	0	0	0	0.095	0	0	0.875	0.882
IFNA1	IFNE	9606.ENSP00000276927	9606.ENSP00000418018	0	0	0	0.831	0.099	0	0	0.887	0.893
IFNA1	IFNA13	9606.ENSP00000276927	9606.ENSP00000480467	0	0	0.047	0.986	0.428	0.831	0	0	0.900
IFNA1	IL10RB	9606.ENSP00000276927	9606.ENSP00000290200	0	0	0	0	0.058	0.091	0.650	0.727	0.907
IFNA1	IL6	9606.ENSP00000276927	9606.ENSP00000385675	0	0	0	0	0.092	0	0	0.923	0.927
IFNA1	IFNLR1	9606.ENSP00000276927	9606.ENSP00000327824	0	0	0	0	0	0	0.650	0.821	0.934
IFNA1	STAT1	9606.ENSP00000276927	9606.ENSP00000354394	0	0	0	0	0.042	0	0.500	0.924	0.960
IFNA1	IFNGR1	9606.ENSP00000276927	9606.ENSP00000356713	0	0	0	0	0.074	0	0.650	0.897	0.963
IFNA1	JAK1	9606.ENSP00000276927	9606.ENSP00000499900	0	0	0	0	0	0	0.650	0.980	0.992
IFNA1	TYK2	9606.ENSP00000276927	9606.ENSP00000431885	0	0	0	0	0	0	0.500	0.985	0.992
IFNA1	IFNB1	9606.ENSP00000276927	9606.ENSP00000369581	0	0	0.130	0.787	0.197	0	0.400	0.986	0.993
IFNA1	IFNAR2	9606.ENSP00000276927	9606.ENSP00000343957	0	0	0	0	0	0.287	0.650	0.997	0.999
IFNA13	IL2RB	9606.ENSP00000480467	9606.ENSP00000216223	0	0	0	0	0	0	0.650	0.126	0.681
IFNA13	IL10RA	9606.ENSP00000480467	9606.ENSP00000227752	0	0	0	0	0	0	0.650	0.145	0.687
IFNA13	IFNG	9606.ENSP00000480467	9606.ENSP00000229135	0	0	0	0	0.108	0	0	0.800	0.814
IFNA13	IL4	9606.ENSP00000480467	9606.ENSP00000231449	0	0	0	0	0.047	0	0	0.478	0.481
IFNA13	IL9R	9606.ENSP00000480467	9606.ENSP00000244174	0	0	0	0	0.049	0	0.650	0.060	0.659
IFNA13	IL12RB2	9606.ENSP00000480467	9606.ENSP00000262345	0	0	0	0	0	0	0.650	0.137	0.685
IFNA13	IL27RA	9606.ENSP00000480467	9606.ENSP00000263379	0	0	0	0	0	0	0.650	0.069	0.660
IFNA13	IFNAR1	9606.ENSP00000480467	9606.ENSP00000270139	0	0	0	0	0.058	0.091	0.900	0.816	0.982
IFNA13	IL22RA1	9606.ENSP00000480467	9606.ENSP00000270800	0	0	0	0	0	0	0.650	0	0.650
IFNA13	IL10RB	9606.ENSP00000480467	9606.ENSP00000290200	0	0	0	0	0.058	0.091	0.650	0.152	0.712
IFNA13	IL22RA2	9606.ENSP00000480467	9606.ENSP00000296980	0	0	0	0	0	0	0.650	0.068	0.659
IFNA13	IL20RA	9606.ENSP00000480467	9606.ENSP00000314976	0	0	0	0	0	0	0.650	0	0.650
IFNA13	IL23R	9606.ENSP00000480467	9606.ENSP00000321345	0	0	0	0	0.047	0	0.650	0.125	0.682
IFNA13	IFNLR1	9606.ENSP00000480467	9606.ENSP00000327824	0	0	0	0	0	0	0.650	0.182	0.701
IFNA13	IL20RB	9606.ENSP00000480467	9606.ENSP00000328133	0	0	0	0	0	0	0.650	0.089	0.667
IFNA13	IFNL1	9606.ENSP00000480467	9606.ENSP00000329991	0	0	0	0	0.239	0	0	0.327	0.466
IFNA13	IFNL2	9606.ENSP00000480467	9606.ENSP00000333639	0	0	0	0	0.235	0	0	0.301	0.442
IFNA13	IL21R	9606.ENSP00000480467	9606.ENSP00000338010	0	0	0	0	0	0	0.650	0.091	0.668
IFNA13	IFNAR2	9606.ENSP00000480467	9606.ENSP00000343957	0	0	0	0	0	0	0.650	0.558	0.838
IFNA13	STAT1	9606.ENSP00000480467	9606.ENSP00000354394	0	0	0	0	0	0	0	0.478	0.478
IFNA13	IFNGR1	9606.ENSP00000480467	9606.ENSP00000356713	0	0	0	0	0.074	0	0.650	0.534	0.835
IFNA13	IL6R	9606.ENSP00000480467	9606.ENSP00000357470	0	0	0	0	0.065	0	0.650	0.194	0.713
IFNA13	IL13RA1	9606.ENSP00000480467	9606.ENSP00000360730	0	0	0	0	0.074	0	0.650	0	0.662
IFNA13	IL13RA2	9606.ENSP00000480467	9606.ENSP00000361004	0	0	0	0	0	0	0.650	0.091	0.668
IFNA13	IL2RA	9606.ENSP00000480467	9606.ENSP00000369293	0	0	0	0	0	0	0.650	0.229	0.718
IFNA13	IFNB1	9606.ENSP00000480467	9606.ENSP00000369581	0	0	0.127	0.788	0.159	0	0	0.491	0.594
IFNA13	IL6ST	9606.ENSP00000480467	9606.ENSP00000370698	0	0	0	0	0	0	0.650	0.125	0.680
IFNA13	IL24	9606.ENSP00000480467	9606.ENSP00000375795	0	0	0	0	0.107	0	0	0.378	0.421
IFNA13	IL4R	9606.ENSP00000480467	9606.ENSP00000379111	0	0	0	0	0.059	0	0.650	0.153	0.696
IFNA13	RELA	9606.ENSP00000480467	9606.ENSP00000384273	0	0	0	0	0	0	0.650	0.166	0.695
IFNA13	IL6	9606.ENSP00000480467	9606.ENSP00000385675	0	0	0	0	0.087	0	0	0.664	0.680
IFNA13	IL5RA	9606.ENSP00000480467	9606.ENSP00000412209	0	0	0	0	0.092	0	0.650	0.118	0.695
IFNA13	IL10	9606.ENSP00000480467	9606.ENSP00000412237	0	0	0	0	0.087	0	0	0.545	0.567
IFNA13	IL22	9606.ENSP00000480467	9606.ENSP00000442424	0	0	0	0	0.114	0	0	0.464	0.505
IFNA13	IL11RA	9606.ENSP00000480467	9606.ENSP00000450565	0	0	0	0	0	0	0.650	0.068	0.659
IFNA13	IL12RB1	9606.ENSP00000480467	9606.ENSP00000470788	0	0	0	0	0	0	0.650	0.108	0.674
IFNA13	IL19	9606.ENSP00000480467	9606.ENSP00000499459	0	0	0	0	0.042	0	0	0.402	0.402
IFNA13	IL17A	9606.ENSP00000480467	9606.ENSP00000497968	0	0	0	0	0.114	0	0	0.397	0.443
IFNA13	PRLR	9606.ENSP00000480467	9606.ENSP00000482954	0	0	0	0	0	0	0.650	0.057	0.655
IFNA13	IFNL3	9606.ENSP00000480467	9606.ENSP00000481633	0	0	0	0	0.094	0	0	0.665	0.683
IFNA13	JAK1	9606.ENSP00000480467	9606.ENSP00000499900	0	0	0	0	0	0	0.650	0.398	0.780
IFNA2	IL2RB	9606.ENSP00000369554	9606.ENSP00000216223	0	0	0	0	0	0	0.650	0.184	0.702
IFNA2	IL10RA	9606.ENSP00000369554	9606.ENSP00000227752	0	0	0	0	0	0	0.650	0.241	0.722
IFNA2	IFNG	9606.ENSP00000369554	9606.ENSP00000229135	0	0	0	0	0.120	0	0	0.965	0.968
IFNA2	IL4	9606.ENSP00000369554	9606.ENSP00000231449	0	0	0	0	0.049	0	0	0.625	0.628
IFNA2	IL9R	9606.ENSP00000369554	9606.ENSP00000244174	0	0	0	0	0.047	0	0.650	0.127	0.683
IFNA2	IL12RB2	9606.ENSP00000369554	9606.ENSP00000262345	0	0	0	0	0.047	0	0.650	0.417	0.788
IFNA2	IL27RA	9606.ENSP00000369554	9606.ENSP00000263379	0	0	0	0	0	0	0.650	0.101	0.671
IFNA2	STAT3	9606.ENSP00000369554	9606.ENSP00000264657	0	0	0	0	0	0	0	0.474	0.474
IFNA2	IFNAR1	9606.ENSP00000369554	9606.ENSP00000270139	0	0	0	0	0.058	0.962	0.900	0.997	0.999
IFNA2	IL22RA1	9606.ENSP00000369554	9606.ENSP00000270800	0	0	0	0	0	0	0.650	0.118	0.678
IFNA2	IL9	9606.ENSP00000369554	9606.ENSP00000274520	0	0	0	0	0.099	0	0	0.738	0.753
IFNA2	IL18	9606.ENSP00000369554	9606.ENSP00000280357	0	0	0	0	0	0	0	0.726	0.726
IFNA2	IL10RB	9606.ENSP00000369554	9606.ENSP00000290200	0	0	0	0	0.058	0.091	0.650	0.651	0.881
IFNA2	IL22RA2	9606.ENSP00000369554	9606.ENSP00000296980	0	0	0	0	0.044	0	0.650	0.077	0.664
IFNA2	IL13	9606.ENSP00000369554	9606.ENSP00000304915	0	0	0	0	0.042	0	0	0.607	0.607
IFNA2	IL20RA	9606.ENSP00000369554	9606.ENSP00000314976	0	0	0	0	0	0	0.650	0.064	0.658
IFNA2	IL23R	9606.ENSP00000369554	9606.ENSP00000321345	0	0	0	0	0.048	0	0.650	0.157	0.694
IFNA2	IFNLR1	9606.ENSP00000369554	9606.ENSP00000327824	0	0	0	0	0.042	0	0.650	0.718	0.897
IFNA2	IL20RB	9606.ENSP00000369554	9606.ENSP00000328133	0	0	0	0	0	0	0.650	0.068	0.659
IFNA2	IFNL1	9606.ENSP00000369554	9606.ENSP00000329991	0	0	0	0	0.115	0	0	0.903	0.910
IFNA2	IFNL2	9606.ENSP00000369554	9606.ENSP00000333639	0	0	0	0	0.085	0	0	0.819	0.827
IFNA2	IL21R	9606.ENSP00000369554	9606.ENSP00000338010	0	0	0	0	0	0	0.650	0.159	0.693
IFNA2	IFNAR2	9606.ENSP00000369554	9606.ENSP00000343957	0	0	0	0	0	0.978	0.650	0.991	0.999
IFNA2	STAT4	9606.ENSP00000369554	9606.ENSP00000351255	0	0	0	0	0	0	0	0.497	0.497
IFNA2	STAT1	9606.ENSP00000369554	9606.ENSP00000354394	0	0	0	0	0.049	0	0.500	0.831	0.912
IFNA2	IFNGR1	9606.ENSP00000369554	9606.ENSP00000356713	0	0	0	0	0.074	0	0.650	0.692	0.891
IFNA2	IL6R	9606.ENSP00000369554	9606.ENSP00000357470	0	0	0	0	0.065	0	0.650	0.305	0.752
IFNA2	IL13RA1	9606.ENSP00000369554	9606.ENSP00000360730	0	0	0	0	0.074	0	0.650	0.130	0.693
IFNA2	IL13RA2	9606.ENSP00000369554	9606.ENSP00000361004	0	0	0	0	0	0	0.650	0.116	0.677
IFNA2	IL2RA	9606.ENSP00000369554	9606.ENSP00000369293	0	0	0	0	0	0	0.650	0.433	0.793
IFNA2	IRF5	9606.ENSP00000369554	9606.ENSP00000418037	0	0	0	0	0.042	0	0	0.427	0.428
IFNA2	IFNW1	9606.ENSP00000369554	9606.ENSP00000369578	0	0	0.063	0.953	0.421	0	0	0.074	0.454
IFNA2	PRLR	9606.ENSP00000369554	9606.ENSP00000482954	0	0	0	0	0.047	0	0.650	0.075	0.664
IFNA2	IL17A	9606.ENSP00000369554	9606.ENSP00000497968	0	0	0	0	0.120	0	0	0.642	0.671
IFNA2	IL11RA	9606.ENSP00000369554	9606.ENSP00000450565	0	0	0	0	0	0	0.650	0.108	0.674
IFNA2	IL22	9606.ENSP00000369554	9606.ENSP00000442424	0	0	0	0	0.119	0	0	0.661	0.688
IFNA2	IL6ST	9606.ENSP00000369554	9606.ENSP00000370698	0	0	0	0	0	0	0.650	0.218	0.714
IFNA2	IL5RA	9606.ENSP00000369554	9606.ENSP00000412209	0	0	0	0	0.089	0	0.650	0.180	0.715
IFNA2	IL4R	9606.ENSP00000369554	9606.ENSP00000379111	0	0	0	0	0.059	0	0.650	0.207	0.716
IFNA2	RELA	9606.ENSP00000369554	9606.ENSP00000384273	0	0	0	0	0	0	0.650	0.246	0.724
IFNA2	IL12RB1	9606.ENSP00000369554	9606.ENSP00000470788	0	0	0	0	0	0	0.650	0.430	0.791
IFNA2	IFNB1	9606.ENSP00000369554	9606.ENSP00000369581	0	0	0.126	0.807	0.238	0	0.400	0.554	0.798
IFNA2	IFNL3	9606.ENSP00000369554	9606.ENSP00000481633	0	0	0	0	0.099	0	0	0.868	0.876
IFNA2	IL10	9606.ENSP00000369554	9606.ENSP00000412237	0	0	0	0	0.094	0	0	0.884	0.890
IFNA2	TYK2	9606.ENSP00000369554	9606.ENSP00000431885	0	0	0	0	0	0	0.500	0.793	0.892
IFNA2	IL6	9606.ENSP00000369554	9606.ENSP00000385675	0	0	0	0	0.074	0	0	0.900	0.903
IFNA2	JAK1	9606.ENSP00000369554	9606.ENSP00000499900	0	0	0	0	0	0	0.650	0.827	0.937
IFNAR1	IL10RA	9606.ENSP00000270139	9606.ENSP00000227752	0	0	0.209	0	0.085	0	0	0.415	0.540
IFNAR1	IL23A	9606.ENSP00000270139	9606.ENSP00000228534	0	0	0	0	0	0	0.650	0.201	0.708
IFNAR1	IFNG	9606.ENSP00000270139	9606.ENSP00000229135	0	0	0	0	0	0	0.900	0.898	0.989
IFNAR1	IL12B	9606.ENSP00000270139	9606.ENSP00000231228	0	0	0	0	0.087	0	0.650	0.163	0.709
IFNAR1	IL4	9606.ENSP00000270139	9606.ENSP00000231449	0	0	0	0	0	0	0.650	0.604	0.855
IFNAR1	STAT3	9606.ENSP00000270139	9606.ENSP00000264657	0	0	0	0	0.110	0.294	0	0.862	0.906
IFNAR1	NLRP3	9606.ENSP00000270139	9606.ENSP00000337383	0	0	0	0	0	0	0	0.424	0.424
IFNAR1	NOD2	9606.ENSP00000270139	9606.ENSP00000300589	0	0	0	0	0.104	0	0	0.441	0.478
IFNAR1	IL10RB	9606.ENSP00000270139	9606.ENSP00000290200	0	0	0	0.652	0.178	0	0	0.395	0.482
IFNAR1	IL17A	9606.ENSP00000270139	9606.ENSP00000497968	0	0	0	0	0.055	0	0	0.477	0.484
IFNAR1	IL22RA1	9606.ENSP00000270139	9606.ENSP00000270800	0	0	0	0.557	0	0.317	0	0.322	0.517
IFNAR1	IL6R	9606.ENSP00000270139	9606.ENSP00000357470	0	0	0	0	0.130	0	0	0.532	0.575
IFNAR1	IL12RB1	9606.ENSP00000270139	9606.ENSP00000470788	0	0	0	0	0.087	0	0	0.595	0.614
IFNAR1	IL20	9606.ENSP00000270139	9606.ENSP00000356065	0	0	0	0	0	0	0.650	0.102	0.672
IFNAR1	IL12A	9606.ENSP00000270139	9606.ENSP00000303231	0	0	0	0	0	0	0.650	0.138	0.685
IFNAR1	IRF5	9606.ENSP00000270139	9606.ENSP00000418037	0	0	0	0	0.067	0	0	0.683	0.692
IFNAR1	IL24	9606.ENSP00000270139	9606.ENSP00000375795	0	0	0	0	0	0	0.650	0.159	0.693
IFNAR1	IL4R	9606.ENSP00000270139	9606.ENSP00000379111	0	0	0.296	0	0.060	0.046	0	0.577	0.697
IFNAR1	IL19	9606.ENSP00000270139	9606.ENSP00000499459	0	0	0	0	0	0	0.650	0.177	0.699
IFNAR1	IL18	9606.ENSP00000270139	9606.ENSP00000280357	0	0	0.264	0	0	0	0	0.627	0.713
IFNAR1	IL9	9606.ENSP00000270139	9606.ENSP00000274520	0	0	0	0	0	0	0.650	0.232	0.719
IFNAR1	IL13	9606.ENSP00000270139	9606.ENSP00000304915	0	0	0	0	0	0	0.650	0.367	0.768
IFNAR1	STAT4	9606.ENSP00000270139	9606.ENSP00000351255	0	0	0	0	0.082	0.045	0	0.855	0.862
IFNAR1	IL22	9606.ENSP00000270139	9606.ENSP00000442424	0	0	0	0	0	0.139	0.650	0.595	0.867
IFNAR1	IL6	9606.ENSP00000270139	9606.ENSP00000385675	0	0	0	0	0.067	0	0.650	0.640	0.872
IFNAR1	IL10	9606.ENSP00000270139	9606.ENSP00000412237	0	0	0	0	0	0	0.650	0.749	0.908
IFNAR1	IFNL3	9606.ENSP00000270139	9606.ENSP00000481633	0	0	0	0	0	0	0.650	0.836	0.940
IFNAR1	IFNL1	9606.ENSP00000270139	9606.ENSP00000329991	0	0	0	0	0	0	0.650	0.867	0.951
IFNAR1	IFNL2	9606.ENSP00000270139	9606.ENSP00000333639	0	0	0	0	0	0	0.650	0.873	0.953
IFNAR1	IFNLR1	9606.ENSP00000270139	9606.ENSP00000327824	0	0	0	0	0.067	0	0	0.965	0.966
IFNAR1	IFNGR1	9606.ENSP00000270139	9606.ENSP00000356713	0	0	0	0	0.161	0.429	0.900	0.863	0.992
IFNAR1	IFNE	9606.ENSP00000270139	9606.ENSP00000418018	0	0	0	0	0.058	0.091	0.900	0.977	0.997
IFNAR1	IFNK	9606.ENSP00000270139	9606.ENSP00000276943	0	0	0	0	0.058	0.091	0.900	0.970	0.997
IFNAR1	IFNW1	9606.ENSP00000270139	9606.ENSP00000369578	0	0	0	0	0.058	0.948	0.900	0.587	0.997
IFNAR1	STAT1	9606.ENSP00000270139	9606.ENSP00000354394	0	0	0	0	0.196	0.301	0.900	0.982	0.998
IFNAR1	TYK2	9606.ENSP00000270139	9606.ENSP00000431885	0	0	0	0	0.091	0.983	0.900	0.997	0.999
IFNAR1	IFNB1	9606.ENSP00000270139	9606.ENSP00000369581	0	0	0	0	0.099	0.802	0.900	0.999	0.999
IFNAR1	IFNAR2	9606.ENSP00000270139	9606.ENSP00000343957	0	0	0	0	0.226	0.919	0.900	0.999	0.999
IFNAR1	JAK1	9606.ENSP00000270139	9606.ENSP00000499900	0	0	0	0	0.111	0.365	0.900	0.998	0.999
IFNAR2	IL10RA	9606.ENSP00000343957	9606.ENSP00000227752	0	0	0	0	0.111	0	0	0.664	0.688
IFNAR2	IL23A	9606.ENSP00000343957	9606.ENSP00000228534	0	0	0	0	0	0	0.650	0.094	0.669
IFNAR2	IFNG	9606.ENSP00000343957	9606.ENSP00000229135	0	0	0	0	0.081	0	0.900	0.862	0.986
IFNAR2	IL12B	9606.ENSP00000343957	9606.ENSP00000231228	0	0	0	0	0.083	0	0.650	0	0.665
IFNAR2	IL4	9606.ENSP00000343957	9606.ENSP00000231449	0	0	0	0	0	0	0.650	0.633	0.866
IFNAR2	STAT3	9606.ENSP00000343957	9606.ENSP00000264657	0	0	0	0	0.118	0.046	0	0.420	0.469
IFNAR2	IL22RA1	9606.ENSP00000343957	9606.ENSP00000270800	0	0	0	0	0	0	0	0.517	0.517
IFNAR2	IL9	9606.ENSP00000343957	9606.ENSP00000274520	0	0	0	0	0.050	0	0.650	0.196	0.709
IFNAR2	IFNK	9606.ENSP00000343957	9606.ENSP00000276943	0	0	0	0	0	0	0.900	0.920	0.991
